year,geo,country_name,ceparema,activity,inv_gov,inv_corp_spec,inv_corp_anc,inv_corp_total,inv_total
2018,EL,Greece,CEPA4,"Protection and remediation of soil, groundwater and surface water",0.0,400000.0,0.0,400000.0,400000.0
2016,PL,Poland,CEPA5,Noise and vibration abatement (excluding workplace protection),32400000.0,0.0,10400000.0,10400000.0,42800000.0
2019,EL,Greece,CEPA4,"Protection and remediation of soil, groundwater and surface water",0.0,400000.0,0.0,400000.0,400000.0
2015,RO,Romania,CEPA4,"Protection and remediation of soil, groundwater and surface water",13200000.0,300000.0,51400000.0,51700000.0,64900000.0
2014,AT,Austria,CEPA1,Protection of ambient air and climate,6200000.0,5800000.0,103500000.0,109300000.0,115500000.0
2021,PL,Poland,CEPA6,Protection of biodiversity and landscapes,76900000.0,0.0,2000000.0,2000000.0,78900000.0
2018,AT,Austria,CEPA6,Protection of biodiversity and landscapes,5300000.0,1800000.0,11500000.0,13300000.0,18600000.0
2019,DE,Germany,CEPA2,Wastewater management,1440200000.0,5321800000.0,1023300000.0,6345100000.0,7785300000.0
2020,MT,Malta,CEPA2,Wastewater management,0.0,20800000.0,200000.0,21000000.0,21000000.0
2014,EL,Greece,CEPA7-9,Protection against radiation; environmental research and development; other environmental protection activities,0.0,0.0,6700000.0,6700000.0,6700000.0
2021,CH,Switzerland,CEPA6,Protection of biodiversity and landscapes,43300000.0,9600000.0,50500000.0,60100000.0,103400000.0
2020,LV,Latvia,CEPA7-9,Protection against radiation; environmental research and development; other environmental protection activities,6100000.0,0.0,100000.0,100000.0,6200000.0
2016,RO,Romania,CEPA1,Protection of ambient air and climate,8000000.0,0.0,59200000.0,59200000.0,67200000.0
